ts,open,high,low,close,volume
1760738400,183.1503,183.18,183.04,183.09,115280.0
1760742000,183.0801,183.39,183.01,183.37,217005.0
1760918400,183.37,183.9,182.5,183.65,169626.0
1760922000,183.71,184.18,183.67,184.08,127048.0
1760925600,184.09,184.23,183.9,184.23,48934.0
1760929200,184.23,184.69,184.16,184.55,75506.0
1760932800,184.54,184.96,184.43,184.62,78277.0
1760936400,184.64,184.77,184.21,184.21,65099.0
1760940000,184.29,184.51,184.09,184.14,76419.0
1760943600,184.14,184.67,184.09,184.36,65388.0
1760947200,184.3,185.0,183.58,183.63,544873.0
1760950800,183.61,184.05,182.97,183.71,422466.0
1760954400,183.73,184.25,183.19,183.31,444445.0
1760958000,183.26,183.8,182.57,182.751,689907.0
1760961600,182.91,184.95,182.56,182.87,2272847.0
1760965200,183.08,183.39,181.73,182.93,19305650.0
1760968800,182.95,185.205,182.3,183.91,28575021.0
1760972400,183.905,184.03,183.03,183.6,16554316.0
1760976000,183.65,184.13,183.275,184.07,10376621.0
1760979600,184.05,184.26,183.5,183.56,8884838.0
1760983200,183.565,183.795,183.39,183.46,8116108.0
1760986800,183.445,183.515,182.05,182.56,19323661.0
1760990400,182.57,182.97,182.5,182.84,663766.0
1760994000,182.84,182.98,182.82,182.95,174201.0
1760997600,182.95,182.96,182.64,182.86,150034.0
1761001200,182.87,182.88,182.65,182.78,229218.0
1761004800,182.81,183.19,182.66,183.13,55354.0
1761008400,183.1,183.19,182.8,182.98,32971.0
1761012000,183.0,183.28,182.93,183.09,35569.0
1761015600,183.1,183.24,183.02,183.13,25685.0
1761019200,183.13,183.15,182.69,182.79,22525.0
1761022800,182.79,182.89,182.5,182.57,41126.0
1761026400,182.55,182.81,182.37,182.79,28486.0
1761030000,182.7,182.73,182.33,182.41,41917.0
1761033600,182.45,182.93,182.14,182.28,287564.0
1761037200,182.29,182.53,182.0,182.25,236543.0
1761040800,182.22,182.52,182.22,182.52,118831.0
1761044400,182.5,183.02,182.48,182.96,360689.0
1761048000,183.05,183.2994,182.08,183.05,1159779.0
1761051600,182.795,183.15,180.66,180.96,18887445.0
1761055200,180.985,181.41,179.8,181.35,26939582.0
1761058800,181.295,182.305,181.14,182.18,15609045.0
1761062400,182.17,182.651,181.365,181.405,11471853.0
1761066000,181.415,181.6874,181.06,181.67,10034651.0
1761069600,181.65,181.665,180.93,181.28,8958175.0
1761073200,181.27,181.6199,181.02,181.12,12382103.0
1761076800,181.05,181.2809,180.7,181.05,1132578.0
1761080400,181.04,181.25,180.91,181.19,192334.0
1761084000,181.21,181.24,181.01,181.0246,110417.0
1761087600,181.0701,181.09,180.7,180.8065,230534.0
1761091200,180.48,181.0,180.43,180.48,46846.0
1761094800,180.48,180.87,180.46,180.81,35900.0
1761098400,180.82,180.99,180.66,180.89,21797.0
1761102000,180.92,181.19,180.72,181.19,25262.0
1761105600,181.16,181.59,181.16,181.45,34379.0
1761109200,181.43,181.53,181.35,181.45,17571.0
1761112800,181.49,181.54,181.18,181.46,16398.0
1761116400,181.48,181.48,180.89,181.17,36208.0
1761120000,181.34,181.46,181.0,181.36,208527.0
1761123600,181.32,181.93,180.96,181.81,242302.0
1761127200,181.82,181.9,181.53,181.57,175214.0
1761130800,181.62,181.7,180.98,181.01,298640.0
1761134400,181.16,181.93,180.9,181.16,1087545.0
1761138000,181.16,183.44,180.29,182.64,18603248.0
1761141600,182.77,183.12,179.32,180.71,31604509.0
1761145200,180.7,180.7259,177.9,179.48,23584407.0
1761148800,179.5,179.96,177.76,178.77,18180692.0
1761152400,178.7,179.0,176.76,177.535,16585157.0
1761156000,177.57,178.9,176.93,178.88,15979904.0
1761159600,178.86,180.39,178.6301,180.33,19403753.0
1761163200,180.29,180.58,179.4485,180.29,2498445.0
1761166800,179.8,179.89,179.53,179.59,303766.0
1761170400,179.59,180.1,179.5713,179.93,323267.0
1761174000,179.92,180.2,179.62,179.7,220525.0
